position,WB
minutes,-0.5133
passes_completed,-0.0049
passes,0.3148
dribbles_completed,0.7989
dribbles,2.2603
passes_completed_short,0.5139
passes_short,0.8856
passes_completed_medium,-0.2035
passes_medium,-0.1214
passes_completed_long,-0.4497
passes_long,0.1069
passes_total_distance,-0.1597
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,0.5679
passes_switches,0.3411
crosses,3.4459
corner_kicks,-0.5565
passes_intercepted,0.5843
passes_blocked,2.0205
dispossessed,-0.1047
goals,-0.7238
assists,0.1568
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.1132
shots_on_target,-0.7449
sca,-0.1762
gca,-0.4951
xg,-0.7245
crosses_into_penalty_area,2.8335
passes_into_final_third,-0.8457
passes_into_penalty_area,0.5024
progressive_passes,-0.5001
carry_progressive_distance,1.6891
assisted_shots,-0.2317
fouled,0.9935
pens_won,-0.2935
tackles,-0.7356
interceptions,0.2989
blocks,-1.0768
tackles_won,-1.2285
dribble_tackles,-0.5179
dribbles_vs,-1.2915
pressures,-0.5422
pressure_regains,-0.2347
clearances,-0.1092
errors,2.0514
aerials_won,-0.6709
aerials_lost,-0.7261
ball_recoveries,0.7525
pens_conceded,-0.3182
fouls,0.7672
cards_yellow_red,-0.1906
