position,LB
minutes,3174.0
passes_completed,0.909
passes,1.245
dribbles_completed,-0.6486
dribbles,-0.7293
passes_completed_short,1.1802
passes_short,1.2681
passes_completed_medium,0.7169
passes_medium,0.9812
passes_completed_long,-0.0214
passes_long,0.5002
passes_total_distance,0.5923
passes_free_kicks,0.7512
through_balls,-0.4312
passes_pressure,1.1574
passes_switches,-0.2102
crosses,0.5948
corner_kicks,-0.3144
passes_intercepted,1.3328
passes_blocked,0.9493
dispossessed,-0.7411
goals,-0.724
assists,-0.3167
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.4973
shots_on_target,-0.6119
sca,-0.3217
gca,-0.758
xg,-0.7485
crosses_into_penalty_area,0.4531
passes_into_final_third,0.4244
passes_into_penalty_area,0.4659
progressive_passes,0.5951
carry_progressive_distance,0.5784
assisted_shots,-0.1331
fouled,-1.0911
pens_won,-0.2937
tackles,-0.0896
interceptions,0.6749
blocks,0.9029
tackles_won,-0.2496
dribble_tackles,0.4394
dribbles_vs,-0.2056
pressures,-0.6956
pressure_regains,-0.7355
clearances,0.3847
errors,0.8135
aerials_won,-0.1954
aerials_lost,-0.5618
ball_recoveries,1.1839
pens_conceded,-0.3183
fouls,-1.4938
cards_yellow_red,-0.1907
