position,GK
passes_completed,-0.5939
passes,-0.5367
dribbles_completed,-1.1537
dribbles,-1.1359
passes_completed_short,-1.8788
passes_short,-2.037
passes_completed_medium,-0.5439
passes_medium,-0.8412
passes_completed_long,2.6373
passes_long,2.7322
passes_total_distance,0.8173
passes_free_kicks,1.8029
through_balls,-0.7252
passes_pressure,-1.7766
passes_switches,-0.4622
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.7339
passes_blocked,-1.5959
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.1756
shots_on_target,-0.9871
sca,-1.3677
gca,-0.7543
xg,-0.8285
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.4393
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-0.9465
assisted_shots,-1.2415
fouled,-1.2979
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7678
pressures,-2.1109
pressure_regains,-2.2384
clearances,-0.9882
errors,0.1136
aerials_won,-1.1308
aerials_lost,-1.2153
ball_recoveries,-0.9814
pens_conceded,1.2501
fouls,-1.7428
cards_yellow_red,-0.2618
