position,LM
minutes,-0.6852
passes_completed,-0.088
passes,0.1059
dribbles_completed,0.5479
dribbles,0.8108
passes_completed_short,0.1949
passes_short,0.0926
passes_completed_medium,-0.1774
passes_medium,-0.1361
passes_completed_long,-0.2332
passes_long,0.5045
passes_total_distance,-0.1362
passes_free_kicks,0.0428
through_balls,-0.632
passes_pressure,0.1348
passes_switches,-0.0414
crosses,2.2872
corner_kicks,1.8413
passes_intercepted,-1.0111
passes_blocked,1.5591
dispossessed,-0.1893
goals,1.3445
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,1.7134
shots_on_target,1.1828
sca,0.8096
gca,-0.2072
xg,0.1463
crosses_into_penalty_area,1.0641
passes_into_final_third,0.2541
passes_into_penalty_area,0.9499
progressive_passes,1.4116
carry_progressive_distance,0.0273
assisted_shots,0.9371
fouled,-0.446
pens_won,-0.2935
tackles,-0.4735
interceptions,-0.5051
blocks,-1.4993
tackles_won,-0.2581
dribble_tackles,-1.4373
dribbles_vs,-1.1232
pressures,-0.0811
pressure_regains,-0.4063
clearances,-0.5805
errors,-0.3758
aerials_won,-0.2288
aerials_lost,-0.015
ball_recoveries,-0.5904
pens_conceded,-0.3182
fouls,1.1702
cards_yellow_red,-0.1906
