position,LB
passes_completed,0.0484
passes,0.4216
dribbles_completed,0.481
dribbles,0.1689
passes_completed_short,-0.0748
passes_short,0.0247
passes_completed_medium,0.1588
passes_medium,0.4639
passes_completed_long,0.065
passes_long,0.4701
passes_total_distance,0.0861
passes_free_kicks,-0.2397
through_balls,-0.7252
passes_pressure,0.9846
passes_switches,1.2758
crosses,3.4525
corner_kicks,-0.0253
passes_intercepted,1.0283
passes_blocked,1.1184
dispossessed,-0.2732
goals,-0.2587
assists,-0.0632
pens_made,0.876
pens_att,1.6361
shots_total,0.3529
shots_on_target,0.6297
sca,0.815
gca,-0.0541
xg,-0.1287
crosses_into_penalty_area,3.495
passes_into_final_third,-0.4537
passes_into_penalty_area,1.2594
progressive_passes,-0.0456
carry_progressive_distance,1.065
assisted_shots,0.841
fouled,-0.4201
pens_won,-0.3695
tackles,-0.6421
interceptions,0.612
blocks,0.4381
tackles_won,-0.9149
dribble_tackles,0.0688
dribbles_vs,-0.2454
pressures,-0.295
pressure_regains,-0.5536
clearances,-0.3975
errors,1.18
aerials_won,-0.5055
aerials_lost,-0.7376
ball_recoveries,-0.0362
pens_conceded,-0.4415
fouls,0.567
cards_yellow_red,-0.2618
