position,LW
passes_completed,0.1828
passes,0.1797
dribbles_completed,-0.6699
dribbles,-0.5051
passes_completed_short,0.9377
passes_short,1.107
passes_completed_medium,-0.3003
passes_medium,-0.4174
passes_completed_long,-0.5993
passes_long,-0.8233
passes_total_distance,-0.2307
passes_free_kicks,-0.7155
through_balls,1.2068
passes_pressure,1.0126
passes_switches,-0.0973
crosses,0.0772
corner_kicks,-0.3923
passes_intercepted,0.1703
passes_blocked,1.1652
dispossessed,-0.6314
goals,1.7548
assists,0.6159
pens_made,-0.2418
pens_att,-0.271
shots_total,0.4001
shots_on_target,1.3034
sca,-0.275
gca,0.5291
xg,0.7248
crosses_into_penalty_area,0.3732
passes_into_final_third,-0.1946
passes_into_penalty_area,0.4509
progressive_passes,-0.0621
carry_progressive_distance,-0.6037
assisted_shots,-0.0287
fouled,-0.2626
pens_won,-0.2935
tackles,-0.5352
interceptions,-1.0943
blocks,0.2329
tackles_won,-0.3232
dribble_tackles,-0.5212
dribbles_vs,-0.4465
pressures,0.3261
pressure_regains,0.91
clearances,-0.3381
errors,-0.3758
aerials_won,-0.1792
aerials_lost,-0.1591
ball_recoveries,-0.94
pens_conceded,-0.3182
fouls,-1.3436
cards_yellow_red,-0.1906
