position,RB
minutes,6030.0
passes_completed,0.6658
passes,0.8229
dribbles_completed,-0.7982
dribbles,-0.8223
passes_completed_short,0.5596
passes_short,0.4989
passes_completed_medium,0.7598
passes_medium,0.8697
passes_completed_long,0.1771
passes_long,0.6082
passes_total_distance,0.5857
passes_free_kicks,-0.0887
through_balls,-0.2091
passes_pressure,-0.071
passes_switches,-0.3716
crosses,0.2428
corner_kicks,-0.5425
passes_intercepted,2.0259
passes_blocked,0.3352
dispossessed,-0.8913
goals,-0.6385
assists,-0.6517
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.8629
shots_on_target,-0.8826
sca,-0.4922
gca,-0.8111
xg,-0.7732
crosses_into_penalty_area,0.2579
passes_into_final_third,0.2489
passes_into_penalty_area,0.256
progressive_passes,0.8499
carry_progressive_distance,-0.2722
assisted_shots,-0.431
fouled,-0.4354
pens_won,-0.2937
tackles,0.8576
interceptions,0.8593
blocks,0.793
tackles_won,0.5389
dribble_tackles,1.3685
dribbles_vs,1.0107
pressures,-0.4457
pressure_regains,-0.0435
clearances,0.2428
errors,-0.376
aerials_won,-0.6715
aerials_lost,-0.7385
ball_recoveries,0.5815
pens_conceded,0.0911
fouls,-0.5945
cards_yellow_red,-0.1907
