position,RB
minutes,-0.7431
passes_completed,0.2141
passes,0.4587
dribbles_completed,-0.5068
dribbles,-0.8149
passes_completed_short,0.5106
passes_short,0.4275
passes_completed_medium,0.2671
passes_medium,0.704
passes_completed_long,-0.5729
passes_long,-0.3089
passes_total_distance,-0.0142
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,2.1873
passes_switches,-0.918
crosses,0.3313
corner_kicks,-0.5565
passes_intercepted,0.7484
passes_blocked,0.7314
dispossessed,0.5983
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.631
shots_on_target,0.0613
sca,-0.4158
gca,-1.0099
xg,-0.2519
crosses_into_penalty_area,3.0811
passes_into_final_third,0.5542
passes_into_penalty_area,0.4309
progressive_passes,0.2221
carry_progressive_distance,0.1997
assisted_shots,-0.4373
fouled,-0.7639
pens_won,-0.2935
tackles,-0.3896
interceptions,3.4762
blocks,0.4454
tackles_won,0.1081
dribble_tackles,-0.2599
dribbles_vs,-0.4036
pressures,-0.4409
pressure_regains,0.9003
clearances,-0.2119
errors,-0.3758
aerials_won,-0.6893
aerials_lost,-1.3273
ball_recoveries,0.1204
pens_conceded,-0.3182
fouls,0.8361
cards_yellow_red,-0.1906
