position,RW
passes_completed,0.3623
passes,0.3626
dribbles_completed,1.3316
dribbles,0.873
passes_completed_short,0.7665
passes_short,0.7279
passes_completed_medium,0.1239
passes_medium,0.1888
passes_completed_long,-0.0979
passes_long,-0.0365
passes_total_distance,0.2175
passes_free_kicks,0.761
through_balls,-0.632
passes_pressure,0.4799
passes_switches,0.1505
crosses,0.9036
corner_kicks,1.2688
passes_intercepted,-0.7301
passes_blocked,-0.0602
dispossessed,-0.1709
goals,2.4251
assists,-0.2204
pens_made,1.3915
pens_att,1.0941
shots_total,0.3328
shots_on_target,0.9915
sca,0.9397
gca,-0.0934
xg,0.8362
crosses_into_penalty_area,0.8499
passes_into_final_third,-0.1948
passes_into_penalty_area,0.7332
progressive_passes,0.1872
carry_progressive_distance,0.6785
assisted_shots,0.9721
fouled,0.191
pens_won,1.3349
tackles,-1.1555
interceptions,-0.7753
blocks,-0.515
tackles_won,-0.8749
dribble_tackles,-0.528
dribbles_vs,-0.7606
pressures,-0.3547
pressure_regains,-0.2788
clearances,-0.3535
errors,-0.3758
aerials_won,-0.722
aerials_lost,-0.6138
ball_recoveries,-0.6049
pens_conceded,-0.3182
fouls,-1.4879
cards_yellow_red,-0.1906
