position,RM
minutes,-0.7585
passes_completed,-0.7698
passes,-0.797
dribbles_completed,-0.4844
dribbles,-0.5132
passes_completed_short,-0.7053
passes_short,-0.6994
passes_completed_medium,-0.7447
passes_medium,-0.7627
passes_completed_long,-0.7067
passes_long,-0.7078
passes_total_distance,-0.774
passes_free_kicks,-0.5974
through_balls,-0.2865
passes_pressure,-0.7437
passes_switches,-0.6894
crosses,-0.5337
corner_kicks,-0.3242
passes_intercepted,-0.6148
passes_blocked,-0.7721
dispossessed,-0.2706
goals,-0.3403
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.4651
shots_on_target,-0.4229
sca,-0.5788
gca,-0.6302
xg,-0.2917
crosses_into_penalty_area,-0.3669
passes_into_final_third,-0.6418
passes_into_penalty_area,-0.5898
progressive_passes,-0.7114
carry_progressive_distance,-0.792
assisted_shots,-0.5645
fouled,-0.4659
pens_won,-0.3681
tackles,-0.8323
interceptions,-0.7673
blocks,-0.8502
tackles_won,-0.8076
dribble_tackles,-0.8012
dribbles_vs,-0.7725
pressures,-0.5459
pressure_regains,-0.5691
clearances,-0.5283
errors,-0.5331
aerials_won,-0.5107
aerials_lost,-0.3244
ball_recoveries,-0.8178
pens_conceded,-0.4889
fouls,-0.5958
cards_yellow_red,-0.3235
