position,GK
passes_completed,-0.6986
passes,-0.8465
dribbles_completed,-1.1537
dribbles,-1.1359
passes_completed_short,-1.7663
passes_short,-1.9446
passes_completed_medium,-0.4406
passes_medium,-0.7459
passes_completed_long,1.7024
passes_long,1.5976
passes_total_distance,0.3154
passes_free_kicks,1.3316
through_balls,-0.7252
passes_pressure,-1.6626
passes_switches,0.0347
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.7225
passes_blocked,-1.691
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.3667
gca,-0.9516
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.466
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.4317
assisted_shots,-1.2538
fouled,-1.3724
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7537
pressures,-2.1023
pressure_regains,-2.2137
clearances,-1.0217
errors,0.4038
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.355
pens_conceded,0.1675
fouls,-1.7775
cards_yellow_red,-0.2618
