position,RM
minutes,-0.5593
passes_completed,-0.5725
passes,-0.5728
dribbles_completed,0.5227
dribbles,0.233
passes_completed_short,-0.4586
passes_short,-0.451
passes_completed_medium,-0.6099
passes_medium,-0.5942
passes_completed_long,-0.5251
passes_long,-0.5249
passes_total_distance,-0.5862
passes_free_kicks,-0.5052
through_balls,0.354
passes_pressure,-0.5157
passes_switches,-0.1603
crosses,-0.3881
corner_kicks,-0.0787
passes_intercepted,-0.1382
passes_blocked,-0.2986
dispossessed,-0.1264
goals,-0.0767
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.0926
shots_on_target,-0.062
sca,-0.2351
gca,-0.3146
xg,-0.1904
crosses_into_penalty_area,-0.3669
passes_into_final_third,-0.5115
passes_into_penalty_area,-0.102
progressive_passes,-0.3911
carry_progressive_distance,-0.2946
assisted_shots,-0.3718
fouled,0.3976
pens_won,0.7686
tackles,-0.5876
interceptions,-0.3755
blocks,-0.6375
tackles_won,-0.5429
dribble_tackles,-0.4804
dribbles_vs,-0.5818
pressures,-0.3191
pressure_regains,-0.4505
clearances,-0.5078
errors,-0.5331
aerials_won,-0.6587
aerials_lost,-0.4492
ball_recoveries,-0.5077
pens_conceded,-0.4889
fouls,-0.1388
cards_yellow_red,-0.3235
