position,WB
minutes,-0.6599
passes_completed,1.1916
passes,1.6184
dribbles_completed,0.0444
dribbles,0.3143
passes_completed_short,1.2902
passes_short,1.4781
passes_completed_medium,1.1403
passes_medium,1.4607
passes_completed_long,0.0893
passes_long,0.8355
passes_total_distance,0.9063
passes_free_kicks,-0.038
through_balls,-0.632
passes_pressure,3.4412
passes_switches,0.5702
crosses,2.7149
corner_kicks,0.3931
passes_intercepted,0.4879
passes_blocked,1.5425
dispossessed,-0.2823
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.807
shots_on_target,-1.0285
sca,-0.4609
gca,-1.0099
xg,-0.8908
crosses_into_penalty_area,0.9188
passes_into_final_third,0.5201
passes_into_penalty_area,0.257
progressive_passes,1.1482
carry_progressive_distance,1.3631
assisted_shots,-0.1978
fouled,-0.5386
pens_won,-0.2935
tackles,0.3997
interceptions,-0.2424
blocks,0.5327
tackles_won,-0.0863
dribble_tackles,0.3288
dribbles_vs,0.1845
pressures,0.9145
pressure_regains,1.3745
clearances,0.0893
errors,-0.3758
aerials_won,-0.2977
aerials_lost,-1.1541
ball_recoveries,-0.4664
pens_conceded,-0.3182
fouls,0.3861
cards_yellow_red,-0.1906
