position,GK
passes_completed,-0.4771
passes,-0.6071
dribbles_completed,-1.0444
dribbles,-1.0709
passes_completed_short,-1.7096
passes_short,-1.892
passes_completed_medium,-0.2948
passes_medium,-0.6127
passes_completed_long,2.2269
passes_long,2.009
passes_total_distance,0.7247
passes_free_kicks,1.3074
through_balls,-0.7252
passes_pressure,-1.7917
passes_switches,-0.5712
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.4011
passes_blocked,-1.6748
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.4832
gca,-1.0626
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.4825
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.2803
assisted_shots,-1.2854
fouled,-1.4797
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.6932
pressures,-2.1218
pressure_regains,-2.2522
clearances,-1.016
errors,0.1847
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.1641
pens_conceded,0.4954
fouls,-1.821
cards_yellow_red,-0.2618
