position,RM
passes_completed,-0.2956
passes,-0.2979
dribbles_completed,2.6695
dribbles,2.4735
passes_completed_short,0.5691
passes_short,0.6576
passes_completed_medium,-0.6622
passes_medium,-0.5986
passes_completed_long,-0.8998
passes_long,-0.8978
passes_total_distance,-0.6924
passes_free_kicks,-0.9352
through_balls,0.3927
passes_pressure,1.0564
passes_switches,-0.6261
crosses,1.2483
corner_kicks,-0.4036
passes_intercepted,0.2198
passes_blocked,0.5526
dispossessed,1.7899
goals,-0.1415
assists,0.8883
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.0242
shots_on_target,0.195
sca,1.4297
gca,1.319
xg,-0.1692
crosses_into_penalty_area,0.8344
passes_into_final_third,-0.0801
passes_into_penalty_area,1.1506
progressive_passes,0.4721
carry_progressive_distance,2.0246
assisted_shots,1.1434
fouled,0.4141
pens_won,0.3596
tackles,-0.3601
interceptions,-0.6451
blocks,-0.1006
tackles_won,-0.1131
dribble_tackles,0.0601
dribbles_vs,-0.0766
pressures,0.8456
pressure_regains,0.5783
clearances,-0.7693
errors,-0.5457
aerials_won,-0.6399
aerials_lost,-0.1773
ball_recoveries,-0.3587
pens_conceded,-0.4415
fouls,0.2508
cards_yellow_red,-0.2618
