position,LM
minutes,2008.0
passes_completed,-0.2751
passes,-0.1162
dribbles_completed,-0.7484
dribbles,-0.5992
passes_completed_short,-0.2111
passes_short,-0.1645
passes_completed_medium,-0.1446
passes_medium,-0.0697
passes_completed_long,-0.42
passes_long,0.0105
passes_total_distance,-0.324
passes_free_kicks,-0.599
through_balls,0.0031
passes_pressure,-0.3739
passes_switches,-0.4826
crosses,0.9343
corner_kicks,0.7623
passes_intercepted,0.6639
passes_blocked,0.0321
dispossessed,-0.5019
goals,-0.2102
assists,0.3068
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.5576
shots_on_target,0.2895
sca,0.6479
gca,0.1861
xg,0.2038
crosses_into_penalty_area,0.8932
passes_into_final_third,-0.0606
passes_into_penalty_area,1.0053
progressive_passes,0.2111
carry_progressive_distance,0.0736
assisted_shots,1.2437
fouled,-0.8784
pens_won,1.832
tackles,-0.5898
interceptions,0.0495
blocks,1.031
tackles_won,-0.7391
dribble_tackles,-0.1322
dribbles_vs,0.3462
pressures,0.3009
pressure_regains,-0.0701
clearances,-0.4757
errors,-0.376
aerials_won,-0.8214
aerials_lost,-0.5361
ball_recoveries,-0.0353
pens_conceded,-0.3183
fouls,-0.5931
cards_yellow_red,-0.1907
