position,RB
minutes,4998.0
passes_completed,-0.0787
passes,0.2203
dribbles_completed,-0.1905
dribbles,-0.2792
passes_completed_short,0.0765
passes_short,0.1756
passes_completed_medium,0.0036
passes_medium,0.2566
passes_completed_long,-0.4314
passes_long,0.0094
passes_total_distance,-0.1748
passes_free_kicks,-0.6183
through_balls,-0.377
passes_pressure,-0.0684
passes_switches,-0.4882
crosses,0.082
corner_kicks,-0.5225
passes_intercepted,0.9282
passes_blocked,1.4467
dispossessed,-0.6405
goals,-0.724
assists,-0.0494
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.2217
shots_on_target,-0.9848
sca,-0.8022
gca,-0.4495
xg,-0.8782
crosses_into_penalty_area,0.1684
passes_into_final_third,-0.1475
passes_into_penalty_area,-0.3223
progressive_passes,0.1807
carry_progressive_distance,-0.4791
assisted_shots,-0.6456
fouled,-0.3274
pens_won,-0.2937
tackles,0.4181
interceptions,0.4711
blocks,0.1966
tackles_won,-0.0099
dribble_tackles,1.1849
dribbles_vs,0.4622
pressures,-1.099
pressure_regains,-1.1097
clearances,0.5351
errors,0.0017
aerials_won,-0.4122
aerials_lost,-0.6168
ball_recoveries,0.8465
pens_conceded,0.1757
fouls,-0.1783
cards_yellow_red,-0.1907
