position,GK
passes_completed,-0.8115
passes,-0.8311
dribbles_completed,-1.1537
dribbles,-1.1359
passes_completed_short,-1.7314
passes_short,-1.9135
passes_completed_medium,-0.6415
passes_medium,-0.9426
passes_completed_long,1.519
passes_long,1.8435
passes_total_distance,0.2055
passes_free_kicks,1.3481
through_balls,-0.7252
passes_pressure,-2.1606
passes_switches,-0.3442
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.6058
passes_blocked,-1.6025
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.4066
gca,-0.9896
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.455
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.3949
assisted_shots,-1.2646
fouled,-1.4559
pens_won,-0.3695
tackles,-1.7879
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7999
pressures,-2.1119
pressure_regains,-2.2473
clearances,-1.0114
errors,1.016
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.2634
pens_conceded,-0.4415
fouls,-1.8668
cards_yellow_red,-0.2618
