position,LW
passes_completed,-0.7284
passes,-0.7395
dribbles_completed,3.5112
dribbles,4.066
passes_completed_short,-0.414
passes_short,-0.295
passes_completed_medium,-0.6649
passes_medium,-0.5927
passes_completed_long,-0.7827
passes_long,-0.8419
passes_total_distance,-0.7981
passes_free_kicks,-0.9051
through_balls,-0.7252
passes_pressure,1.1522
passes_switches,-0.5095
crosses,0.7182
corner_kicks,-0.4808
passes_intercepted,-1.0302
passes_blocked,0.4994
dispossessed,3.3554
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,2.743
shots_on_target,0.7317
sca,1.6592
gca,-1.0626
xg,0.5972
crosses_into_penalty_area,1.188
passes_into_final_third,0.4969
passes_into_penalty_area,0.7909
progressive_passes,-0.072
carry_progressive_distance,2.6328
assisted_shots,1.5709
fouled,0.4583
pens_won,-0.3695
tackles,-0.4917
interceptions,-0.217
blocks,-0.9187
tackles_won,-0.2988
dribble_tackles,-1.007
dribbles_vs,-0.2813
pressures,0.6957
pressure_regains,1.105
clearances,-0.7715
errors,-0.5457
aerials_won,1.9917
aerials_lost,1.4884
ball_recoveries,-0.0244
pens_conceded,-0.4415
fouls,-0.1563
cards_yellow_red,-0.2618
