position,AM
minutes,-0.1258
passes_completed,2.4109
passes,2.4197
dribbles_completed,1.6497
dribbles,1.247
passes_completed_short,3.6581
passes_short,3.6082
passes_completed_medium,1.4628
passes_medium,1.5131
passes_completed_long,0.3353
passes_long,0.345
passes_total_distance,1.6335
passes_free_kicks,-0.2666
through_balls,2.089
passes_pressure,1.8392
passes_switches,0.5934
crosses,1.0284
corner_kicks,0.7191
passes_intercepted,1.4428
passes_blocked,1.4045
dispossessed,0.6133
goals,1.11
assists,1.7945
pens_made,-0.2418
pens_att,-0.271
shots_total,1.0975
shots_on_target,1.6379
sca,2.3178
gca,2.4062
xg,0.9482
crosses_into_penalty_area,0.0549
passes_into_final_third,2.6884
passes_into_penalty_area,2.7955
progressive_passes,2.4128
carry_progressive_distance,2.7471
assisted_shots,1.7296
fouled,2.3129
pens_won,-0.2935
tackles,-0.6808
interceptions,-0.5665
blocks,-1.4449
tackles_won,-0.6047
dribble_tackles,-0.7595
dribbles_vs,0.5109
pressures,0.7966
pressure_regains,0.3407
clearances,-0.9766
errors,-0.3758
aerials_won,-0.8792
aerials_lost,-0.8619
ball_recoveries,-0.7653
pens_conceded,-0.3182
fouls,0.1322
cards_yellow_red,-0.1906
