position,LB
minutes,346.0
passes_completed,-0.0515
passes,-0.0206
dribbles_completed,-0.0956
dribbles,-0.5624
passes_completed_short,0.6152
passes_short,0.5408
passes_completed_medium,-0.2473
passes_medium,-0.1606
passes_completed_long,-0.9732
passes_long,-0.7775
passes_total_distance,-0.4132
passes_free_kicks,-0.7151
through_balls,-0.6322
passes_pressure,-1.5868
passes_switches,-1.1161
crosses,-0.2778
corner_kicks,-0.3098
passes_intercepted,-0.0285
passes_blocked,0.4129
dispossessed,1.8233
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7864
shots_on_target,-0.3913
sca,-1.4675
gca,-1.0103
xg,-0.8911
crosses_into_penalty_area,0.0693
passes_into_final_third,-0.3511
passes_into_penalty_area,-0.4944
progressive_passes,-1.5585
carry_progressive_distance,0.8085
assisted_shots,-1.3957
fouled,0.795
pens_won,-0.2937
tackles,2.6494
interceptions,2.7139
blocks,0.1023
tackles_won,3.1675
dribble_tackles,2.0064
dribbles_vs,2.0034
pressures,0.8991
pressure_regains,1.0326
clearances,0.081
errors,-0.376
aerials_won,-0.6136
aerials_lost,0.8344
ball_recoveries,0.4532
pens_conceded,-0.3183
fouls,1.3255
cards_yellow_red,-0.1907
