position,AM
minutes,1169.0
passes_completed,-0.2126
passes,-0.4532
dribbles_completed,1.3882
dribbles,1.7573
passes_completed_short,0.8536
passes_short,0.9986
passes_completed_medium,-0.8678
passes_medium,-1.0629
passes_completed_long,-0.953
passes_long,-1.3854
passes_total_distance,-0.712
passes_free_kicks,-0.8404
through_balls,-0.6322
passes_pressure,0.4306
passes_switches,-1.3123
crosses,-0.9454
corner_kicks,-0.4105
passes_intercepted,0.3079
passes_blocked,-0.8539
dispossessed,0.5891
goals,1.4823
assists,0.4633
pens_made,-0.2419
pens_att,-0.2711
shots_total,1.5913
shots_on_target,2.3681
sca,2.255
gca,2.4149
xg,2.0959
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.494
passes_into_penalty_area,0.8594
progressive_passes,-0.282
carry_progressive_distance,1.7156
assisted_shots,1.3688
fouled,0.9355
pens_won,1.532
tackles,-1.058
interceptions,-0.9936
blocks,-1.6252
tackles_won,-0.6247
dribble_tackles,-1.0301
dribbles_vs,-0.7959
pressures,0.1396
pressure_regains,-0.0645
clearances,-0.5983
errors,-0.376
aerials_won,-0.2848
aerials_lost,0.5121
ball_recoveries,-1.7515
pens_conceded,-0.3183
fouls,-0.1745
cards_yellow_red,-0.1907
