position,GK
passes_completed,-0.8978
passes,-0.5209
dribbles_completed,-1.1277
dribbles,-1.1204
passes_completed_short,-1.8273
passes_short,-2.0033
passes_completed_medium,-0.6684
passes_medium,-0.9648
passes_completed_long,1.5039
passes_long,2.9188
passes_total_distance,0.3261
passes_free_kicks,1.9173
through_balls,-0.7252
passes_pressure,-1.8183
passes_switches,-0.5183
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.707
passes_blocked,-1.5228
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.3368
gca,-0.8185
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.1348
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.2824
assisted_shots,-1.2506
fouled,-1.3533
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.6982
pressures,-2.1119
pressure_regains,-2.2692
clearances,-0.9741
errors,-0.0236
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.2192
pens_conceded,-0.4415
fouls,-1.8341
cards_yellow_red,-0.2618
