position,LW
passes_completed,-0.9729
passes,-0.6674
dribbles_completed,0.6104
dribbles,0.8155
passes_completed_short,-0.8806
passes_short,-0.8162
passes_completed_medium,-0.9681
passes_medium,-0.8756
passes_completed_long,-0.0862
passes_long,0.5825
passes_total_distance,-0.761
passes_free_kicks,0.5775
through_balls,0.75
passes_pressure,-0.5269
passes_switches,1.5574
crosses,1.7087
corner_kicks,2.8132
passes_intercepted,0.1214
passes_blocked,0.5629
dispossessed,0.6547
goals,0.8421
assists,0.7872
pens_made,0.6692
pens_att,0.4886
shots_total,2.0978
shots_on_target,1.8209
sca,0.9968
gca,0.4261
xg,0.5073
crosses_into_penalty_area,0.8784
passes_into_final_third,-0.1285
passes_into_penalty_area,0.4488
progressive_passes,-0.0293
carry_progressive_distance,0.5154
assisted_shots,1.2598
fouled,0.4754
pens_won,0.5927
tackles,0.5432
interceptions,-0.5926
blocks,0.1523
tackles_won,0.2521
dribble_tackles,-0.2923
dribbles_vs,1.3011
pressures,1.9062
pressure_regains,0.5118
clearances,-0.8745
errors,-0.5457
aerials_won,-0.699
aerials_lost,-0.0024
ball_recoveries,-0.5713
pens_conceded,-0.4415
fouls,0.4841
cards_yellow_red,1.4107
