position,RW
minutes,-0.4055
passes_completed,-1.1779
passes,-1.2494
dribbles_completed,-0.513
dribbles,-0.4987
passes_completed_short,-0.9052
passes_short,-0.8997
passes_completed_medium,-1.0111
passes_medium,-1.0713
passes_completed_long,-1.0927
passes_long,-1.3544
passes_total_distance,-1.1463
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,-1.0147
passes_switches,-0.787
crosses,0.0333
corner_kicks,-0.5565
passes_intercepted,-0.0854
passes_blocked,1.5829
dispossessed,-0.666
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.6369
shots_on_target,-0.5654
sca,0.0843
gca,0.6712
xg,-0.6193
crosses_into_penalty_area,-0.1821
passes_into_final_third,-0.989
passes_into_penalty_area,-0.5687
progressive_passes,-1.0283
carry_progressive_distance,-0.2863
assisted_shots,-0.7167
fouled,0.1223
pens_won,4.1869
tackles,-0.2911
interceptions,-0.6492
blocks,0.7684
tackles_won,-0.3488
dribble_tackles,0.0638
dribbles_vs,-0.0835
pressures,0.1774
pressure_regains,-0.4749
clearances,-0.7307
errors,-0.3758
aerials_won,-1.0417
aerials_lost,-1.0328
ball_recoveries,-1.0635
pens_conceded,2.2735
fouls,-0.973
cards_yellow_red,-0.1906
