position,RW
minutes,0.5231
passes_completed,0.8278
passes,0.772
dribbles_completed,0.9255
dribbles,0.766
passes_completed_short,1.4943
passes_short,1.4255
passes_completed_medium,0.4026
passes_medium,0.4267
passes_completed_long,0.1267
passes_long,0.0819
passes_total_distance,0.5136
passes_free_kicks,-0.2654
through_balls,2.4889
passes_pressure,0.7379
passes_switches,0.7336
crosses,2.2523
corner_kicks,1.2472
passes_intercepted,0.9342
passes_blocked,1.321
dispossessed,0.787
goals,0.846
assists,1.9617
pens_made,-0.2258
pens_att,-0.2444
shots_total,1.4952
shots_on_target,1.6908
sca,1.6622
gca,1.9996
xg,1.0394
crosses_into_penalty_area,2.4343
passes_into_final_third,0.6704
passes_into_penalty_area,2.3063
progressive_passes,0.8037
carry_progressive_distance,1.838
assisted_shots,1.8591
fouled,0.4991
pens_won,3.042
tackles,-0.1357
interceptions,0.1231
blocks,-0.1694
tackles_won,-0.0133
dribble_tackles,-0.3199
dribbles_vs,0.0857
pressures,0.3657
pressure_regains,0.1502
clearances,-0.5386
errors,-0.5331
aerials_won,-0.6032
aerials_lost,-0.4908
ball_recoveries,-0.1043
pens_conceded,-0.4889
fouls,-0.1388
cards_yellow_red,-0.3235
