position,AM
minutes,-0.2971
passes_completed,-0.3519
passes,-0.2781
dribbles_completed,1.6586
dribbles,2.5681
passes_completed_short,-0.0202
passes_short,0.09
passes_completed_medium,-0.4293
passes_medium,-0.3309
passes_completed_long,-0.4419
passes_long,-0.517
passes_total_distance,-0.4362
passes_free_kicks,-0.5512
through_balls,-0.0668
passes_pressure,-0.6412
passes_switches,-0.0275
crosses,0.9692
corner_kicks,0.4276
passes_intercepted,0.573
passes_blocked,1.0455
dispossessed,3.5492
goals,0.1904
assists,1.1473
pens_made,1.6547
pens_att,1.3141
shots_total,0.8544
shots_on_target,0.5352
sca,1.297
gca,0.4092
xg,0.8281
crosses_into_penalty_area,0.842
passes_into_final_third,-0.7461
passes_into_penalty_area,0.688
progressive_passes,-0.1154
carry_progressive_distance,0.5016
assisted_shots,0.781
fouled,0.7058
pens_won,-0.2935
tackles,-0.5525
interceptions,-0.8031
blocks,-1.222
tackles_won,-0.3016
dribble_tackles,-0.3814
dribbles_vs,-0.4716
pressures,-0.466
pressure_regains,-0.0668
clearances,-0.9671
errors,-0.3758
aerials_won,-0.896
aerials_lost,1.0755
ball_recoveries,-0.8358
pens_conceded,-0.3182
fouls,-0.8816
cards_yellow_red,-0.1906
