position,WB
minutes,-0.7243
passes_completed,-0.6054
passes,-0.6125
dribbles_completed,-0.4592
dribbles,-0.4827
passes_completed_short,-0.5623
passes_short,-0.5743
passes_completed_medium,-0.5517
passes_medium,-0.5618
passes_completed_long,-0.6043
passes_long,-0.536
passes_total_distance,-0.6096
passes_free_kicks,-0.5052
through_balls,-0.5
passes_pressure,-0.6604
passes_switches,-0.6164
crosses,-0.2242
corner_kicks,-0.3242
passes_intercepted,-0.6943
passes_blocked,-0.4232
dispossessed,-0.6792
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6219
shots_on_target,-0.526
sca,-0.62
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.1802
passes_into_final_third,-0.5581
passes_into_penalty_area,-0.4069
progressive_passes,-0.5729
carry_progressive_distance,-0.7333
assisted_shots,-0.5921
fouled,-0.4151
pens_won,-0.3681
tackles,-0.6629
interceptions,-0.5892
blocks,-0.5524
tackles_won,-0.69
dribble_tackles,-0.5338
dribbles_vs,-0.6581
pressures,-0.7403
pressure_regains,-0.7509
clearances,-0.3743
errors,-0.5331
aerials_won,-0.5107
aerials_lost,-0.5947
ball_recoveries,-0.631
pens_conceded,-0.4889
fouls,-0.5689
cards_yellow_red,2.2462
