position,RB
minutes,1148.0
passes_completed,-0.7583
passes,-0.2695
dribbles_completed,0.6586
dribbles,0.5914
passes_completed_short,-1.3529
passes_short,-1.4419
passes_completed_medium,-0.4895
passes_medium,-0.1471
passes_completed_long,0.5298
passes_long,1.6923
passes_total_distance,-0.3411
passes_free_kicks,-0.652
through_balls,-0.6322
passes_pressure,-0.6186
passes_switches,0.2847
crosses,0.7393
corner_kicks,-0.5567
passes_intercepted,-0.3876
passes_blocked,-0.3776
dispossessed,0.0047
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.9218
shots_on_target,-0.8368
sca,-0.5976
gca,-1.0103
xg,-0.8348
crosses_into_penalty_area,1.0904
passes_into_final_third,-0.233
passes_into_penalty_area,0.4086
progressive_passes,0.4541
carry_progressive_distance,0.1302
assisted_shots,-0.7201
fouled,0.4533
pens_won,-0.2937
tackles,0.3508
interceptions,1.4773
blocks,0.237
tackles_won,0.6314
dribble_tackles,0.0154
dribbles_vs,-0.7743
pressures,-0.8299
pressure_regains,-0.4759
clearances,0.7785
errors,-0.376
aerials_won,-0.1114
aerials_lost,0.057
ball_recoveries,1.0401
pens_conceded,-0.3183
fouls,0.2407
cards_yellow_red,-0.1907
