position,CM
minutes,885.0
passes_completed,2.1094
passes,1.8962
dribbles_completed,-0.6819
dribbles,-0.6472
passes_completed_short,1.6459
passes_short,1.6212
passes_completed_medium,1.9223
passes_medium,1.7625
passes_completed_long,1.8783
passes_long,1.2153
passes_total_distance,2.1154
passes_free_kicks,-0.0621
through_balls,-0.6322
passes_pressure,0.5463
passes_switches,1.3285
crosses,-1.0521
corner_kicks,-0.5567
passes_intercepted,0.5261
passes_blocked,-0.3808
dispossessed,-0.6093
goals,1.0246
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.4766
shots_on_target,-0.2811
sca,-0.8537
gca,-0.5579
xg,-0.818
crosses_into_penalty_area,-0.8508
passes_into_final_third,1.8019
passes_into_penalty_area,-0.6718
progressive_passes,0.6141
carry_progressive_distance,0.2386
assisted_shots,-0.8114
fouled,-0.4289
pens_won,-0.2937
tackles,0.0772
interceptions,0.2763
blocks,-0.5927
tackles_won,-0.058
dribble_tackles,-0.3606
dribbles_vs,-0.0595
pressures,0.265
pressure_regains,0.6435
clearances,-0.4031
errors,-0.376
aerials_won,-0.0112
aerials_lost,-0.6938
ball_recoveries,1.1909
pens_conceded,-0.3183
fouls,-0.0684
cards_yellow_red,-0.1907
