position,LM
passes_completed,-0.8761
passes,-0.9678
dribbles_completed,1.3867
dribbles,2.2062
passes_completed_short,-0.9021
passes_short,-0.7428
passes_completed_medium,-0.593
passes_medium,-0.7511
passes_completed_long,-0.8902
passes_long,-1.0768
passes_total_distance,-0.8736
passes_free_kicks,-0.8809
through_balls,-0.632
passes_pressure,-0.5657
passes_switches,-0.8833
crosses,0.3398
corner_kicks,-0.5565
passes_intercepted,0.0997
passes_blocked,0.5723
dispossessed,1.6895
goals,0.6432
assists,-0.7711
pens_made,2.5942
pens_att,2.0993
shots_total,0.05
shots_on_target,0.1407
sca,0.5464
gca,-0.4794
xg,0.3087
crosses_into_penalty_area,-0.0068
passes_into_final_third,-1.0412
passes_into_penalty_area,-0.5615
progressive_passes,-0.9112
carry_progressive_distance,1.5319
assisted_shots,-0.025
fouled,1.8804
pens_won,-0.2935
tackles,-0.8392
interceptions,0.6072
blocks,0.0867
tackles_won,-0.5844
dribble_tackles,-0.8057
dribbles_vs,-0.2893
pressures,0.2436
pressure_regains,0.4723
clearances,-0.8715
errors,-0.3758
aerials_won,-0.6567
aerials_lost,-1.0795
ball_recoveries,-0.0029
pens_conceded,-0.3182
fouls,-0.3059
cards_yellow_red,-0.1906
