position,GK
minutes,-0.0114
passes_completed,-0.2951
passes,-0.2364
dribbles_completed,-0.5851
dribbles,-0.6198
passes_completed_short,-0.695
passes_short,-0.727
passes_completed_medium,-0.2585
passes_medium,-0.343
passes_completed_long,0.6621
passes_long,0.8549
passes_total_distance,0.1085
passes_free_kicks,0.9518
through_balls,-0.5
passes_pressure,-0.6429
passes_switches,0.0039
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.8134
passes_blocked,-0.7222
dispossessed,-0.7032
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.7025
gca,-0.6302
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6139
passes_into_penalty_area,-0.6507
progressive_passes,-0.7807
carry_progressive_distance,-0.6114
assisted_shots,-0.6747
fouled,-0.6691
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.7153
pressures,-0.9002
pressure_regains,-0.9168
clearances,-0.5796
errors,1.0334
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,-0.3433
pens_conceded,-0.4889
fouls,-0.9183
cards_yellow_red,-0.3235
