position,WB
minutes,0.1718
passes_completed,0.8012
passes,0.9975
dribbles_completed,-0.1393
dribbles,-0.2341
passes_completed_short,1.1706
passes_short,1.249
passes_completed_medium,0.6776
passes_medium,0.8319
passes_completed_long,-0.2461
passes_long,-0.0667
passes_total_distance,0.4421
passes_free_kicks,-0.1785
through_balls,0.7184
passes_pressure,1.7694
passes_switches,-0.5268
crosses,0.6325
corner_kicks,-0.5565
passes_intercepted,0.7112
passes_blocked,2.2378
dispossessed,0.0951
goals,0.6414
assists,-0.3891
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.7316
shots_on_target,-0.2112
sca,-0.1712
gca,0.6855
xg,-0.1378
crosses_into_penalty_area,0.666
passes_into_final_third,0.7683
passes_into_penalty_area,1.449
progressive_passes,1.8505
carry_progressive_distance,0.3001
assisted_shots,-0.1636
fouled,0.5881
pens_won,-0.2935
tackles,0.2306
interceptions,0.2556
blocks,1.2441
tackles_won,0.3302
dribble_tackles,-0.1758
dribbles_vs,-0.4596
pressures,0.3827
pressure_regains,-0.2355
clearances,0.3044
errors,-0.3758
aerials_won,-0.1299
aerials_lost,-0.4859
ball_recoveries,-0.4751
pens_conceded,0.9886
fouls,-0.4239
cards_yellow_red,-0.1906
