position,LM
passes_completed,0.1179
passes,0.2846
dribbles_completed,-0.149
dribbles,-0.4607
passes_completed_short,-0.2599
passes_short,-0.379
passes_completed_medium,0.2821
passes_medium,0.298
passes_completed_long,0.3972
passes_long,0.938
passes_total_distance,0.31
passes_free_kicks,1.5522
through_balls,-0.632
passes_pressure,2.6102
passes_switches,1.3671
crosses,2.9535
corner_kicks,1.326
passes_intercepted,-0.9273
passes_blocked,1.0301
dispossessed,0.381
goals,-0.7238
assists,0.8191
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.4976
shots_on_target,-0.5424
sca,0.5737
gca,-0.1277
xg,-0.6058
crosses_into_penalty_area,3.3582
passes_into_final_third,-0.532
passes_into_penalty_area,1.1737
progressive_passes,-0.6595
carry_progressive_distance,0.3548
assisted_shots,1.7379
fouled,-0.8612
pens_won,-0.2935
tackles,-0.3253
interceptions,0.4364
blocks,1.3906
tackles_won,-0.7952
dribble_tackles,0.1382
dribbles_vs,0.5929
pressures,-1.4456
pressure_regains,-1.8517
clearances,-0.2986
errors,-0.3758
aerials_won,-0.3384
aerials_lost,-0.7092
ball_recoveries,-0.5004
pens_conceded,-0.3182
fouls,-1.0805
cards_yellow_red,-0.1906
