position,RW
passes_completed,-0.5647
passes,-0.3984
dribbles_completed,1.9299
dribbles,1.9354
passes_completed_short,-0.125
passes_short,0.3733
passes_completed_medium,-0.5904
passes_medium,-0.5499
passes_completed_long,-0.9795
passes_long,-1.1293
passes_total_distance,-0.7404
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,1.1873
passes_switches,-0.7337
crosses,0.3056
corner_kicks,-0.2638
passes_intercepted,1.0339
passes_blocked,1.7359
dispossessed,0.6792
goals,0.4544
assists,3.3496
pens_made,-0.2418
pens_att,-0.271
shots_total,0.8355
shots_on_target,1.4907
sca,0.6559
gca,1.7335
xg,1.1768
crosses_into_penalty_area,-0.8504
passes_into_final_third,-1.059
passes_into_penalty_area,-0.0216
progressive_passes,-0.2791
carry_progressive_distance,0.4891
assisted_shots,0.8191
fouled,0.6961
pens_won,-0.2935
tackles,-0.022
interceptions,0.2973
blocks,0.7194
tackles_won,0.8602
dribble_tackles,-1.1651
dribbles_vs,-0.1592
pressures,1.1283
pressure_regains,1.289
clearances,-0.6438
errors,-0.3758
aerials_won,-1.0333
aerials_lost,-0.3662
ball_recoveries,-0.3733
pens_conceded,-0.3182
fouls,0.2863
cards_yellow_red,-0.1906
