position,RW
minutes,-0.6704
passes_completed,-1.099
passes,-0.8936
dribbles_completed,1.2247
dribbles,1.7648
passes_completed_short,-0.5842
passes_short,-0.1819
passes_completed_medium,-1.1688
passes_medium,-1.0482
passes_completed_long,-1.0388
passes_long,-1.1345
passes_total_distance,-1.1596
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,0.6333
passes_switches,-0.6566
crosses,0.8523
corner_kicks,-0.5565
passes_intercepted,0.1606
passes_blocked,0.6482
dispossessed,0.9234
goals,0.2629
assists,0.6093
pens_made,-0.2418
pens_att,-0.271
shots_total,0.8463
shots_on_target,0.2374
sca,0.2766
gca,-0.2441
xg,0.2224
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.3598
passes_into_penalty_area,-0.769
progressive_passes,-0.7336
carry_progressive_distance,0.5328
assisted_shots,-0.4061
fouled,0.196
pens_won,-0.2935
tackles,-0.7458
interceptions,-1.2769
blocks,0.0853
tackles_won,-1.2335
dribble_tackles,-0.9814
dribbles_vs,-0.7574
pressures,0.3851
pressure_regains,-0.2944
clearances,-0.8078
errors,-0.3758
aerials_won,1.1158
aerials_lost,0.9979
ball_recoveries,-1.3257
pens_conceded,-0.3182
fouls,-0.3712
cards_yellow_red,-0.1906
