position,LW
minutes,366.0
passes_completed,-0.6437
passes,-0.9591
dribbles_completed,-0.1582
dribbles,-0.1012
passes_completed_short,-0.2362
passes_short,-0.4972
passes_completed_medium,-0.6217
passes_medium,-0.6872
passes_completed_long,-1.004
passes_long,-1.3354
passes_total_distance,-0.7914
passes_free_kicks,-0.4417
through_balls,-0.6322
passes_pressure,-0.6423
passes_switches,-1.1314
crosses,-0.3247
corner_kicks,-0.5567
passes_intercepted,0.448
passes_blocked,-1.1474
dispossessed,1.6464
goals,-0.724
assists,1.2005
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.5567
shots_on_target,-0.4262
sca,-0.6813
gca,1.1777
xg,-0.7144
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.5715
passes_into_penalty_area,-1.308
progressive_passes,-0.0095
carry_progressive_distance,-0.4875
assisted_shots,-0.6893
fouled,0.3282
pens_won,-0.2937
tackles,0.0683
interceptions,-0.095
blocks,0.7414
tackles_won,0.3138
dribble_tackles,-0.1355
dribbles_vs,1.497
pressures,0.9499
pressure_regains,0.6566
clearances,-0.8675
errors,4.7818
aerials_won,-0.3947
aerials_lost,-0.5613
ball_recoveries,-1.3452
pens_conceded,-0.3183
fouls,-0.8501
cards_yellow_red,-0.1907
