position,LW
passes_completed,-1.0135
passes,-1.1424
dribbles_completed,1.6706
dribbles,1.9835
passes_completed_short,-0.1865
passes_short,-0.0693
passes_completed_medium,-1.2922
passes_medium,-1.4005
passes_completed_long,-0.9728
passes_long,-1.0763
passes_total_distance,-1.2093
passes_free_kicks,-1.0771
through_balls,-0.7252
passes_pressure,0.8823
passes_switches,-1.0792
crosses,0.1857
corner_kicks,-0.4808
passes_intercepted,1.6389
passes_blocked,0.3274
dispossessed,1.2345
goals,0.3904
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.4921
shots_on_target,-0.0951
sca,-0.4906
gca,0.829
xg,-0.5987
crosses_into_penalty_area,0.5643
passes_into_final_third,-0.8254
passes_into_penalty_area,1.761
progressive_passes,-0.0074
carry_progressive_distance,1.0506
assisted_shots,-0.2074
fouled,-0.3979
pens_won,-0.3695
tackles,-0.2476
interceptions,-1.5882
blocks,0.3791
tackles_won,0.3587
dribble_tackles,-0.9894
dribbles_vs,-0.0268
pressures,-0.1109
pressure_regains,0.9489
clearances,-0.8519
errors,-0.5457
aerials_won,-0.6678
aerials_lost,0.018
ball_recoveries,-0.7644
pens_conceded,-0.4415
fouls,-0.5987
cards_yellow_red,-0.2618
