position,LB
passes_completed,0.3782
passes,0.7452
dribbles_completed,-0.2555
dribbles,-0.2488
passes_completed_short,0.3113
passes_short,0.2975
passes_completed_medium,0.4551
passes_medium,0.7364
passes_completed_long,0.0409
passes_long,0.5885
passes_total_distance,0.286
passes_free_kicks,-0.0269
through_balls,-0.4569
passes_pressure,0.0534
passes_switches,0.1078
crosses,1.6639
corner_kicks,-0.419
passes_intercepted,1.4425
passes_blocked,0.9663
dispossessed,-0.4917
goals,-0.7415
assists,0.1837
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.7797
shots_on_target,-0.9162
sca,-0.1078
gca,-0.2354
xg,-0.7991
crosses_into_penalty_area,1.6694
passes_into_final_third,0.7165
passes_into_penalty_area,0.5343
progressive_passes,1.2779
carry_progressive_distance,0.1388
assisted_shots,0.0431
fouled,-0.3958
pens_won,-0.3695
tackles,1.1803
interceptions,0.2504
blocks,1.6577
tackles_won,1.1002
dribble_tackles,1.6288
dribbles_vs,0.299
pressures,-0.4005
pressure_regains,-0.1923
clearances,0.273
errors,0.0977
aerials_won,-0.0879
aerials_lost,-0.3401
ball_recoveries,0.3335
pens_conceded,1.2091
fouls,-0.1528
cards_yellow_red,0.4985
