position,LB
passes_completed,0.097
passes,0.268
dribbles_completed,0.3233
dribbles,1.06
passes_completed_short,0.1104
passes_short,0.1068
passes_completed_medium,0.3105
passes_medium,0.633
passes_completed_long,-0.5324
passes_long,-0.4856
passes_total_distance,-0.0715
passes_free_kicks,-0.4237
through_balls,-0.4311
passes_pressure,-0.1768
passes_switches,-0.6025
crosses,1.2047
corner_kicks,-0.4469
passes_intercepted,0.1148
passes_blocked,1.4034
dispossessed,-0.0851
goals,-0.5442
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.9251
shots_on_target,-0.6761
sca,-0.2473
gca,-0.7328
xg,-0.7834
crosses_into_penalty_area,1.117
passes_into_final_third,0.1297
passes_into_penalty_area,0.2874
progressive_passes,0.7639
carry_progressive_distance,1.2865
assisted_shots,-0.1109
fouled,0.4686
pens_won,-0.3695
tackles,0.1287
interceptions,0.0243
blocks,0.2321
tackles_won,0.0879
dribble_tackles,0.5428
dribbles_vs,0.1233
pressures,-0.3661
pressure_regains,-0.0419
clearances,0.0527
errors,0.1596
aerials_won,0.0259
aerials_lost,-0.1437
ball_recoveries,0.173
pens_conceded,0.4632
fouls,1.0953
cards_yellow_red,-0.2618
