position,RW
minutes,614.0
passes_completed,-0.7763
passes,-0.9344
dribbles_completed,0.6964
dribbles,1.1156
passes_completed_short,-0.0562
passes_short,-0.0583
passes_completed_medium,-0.8887
passes_medium,-0.9692
passes_completed_long,-1.2721
passes_long,-1.3511
passes_total_distance,-1.0048
passes_free_kicks,-1.022
through_balls,0.4066
passes_pressure,-0.107
passes_switches,-0.6097
crosses,-0.0478
corner_kicks,-0.5567
passes_intercepted,-0.4834
passes_blocked,-1.0094
dispossessed,1.0734
goals,0.1161
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,1.2959
shots_on_target,0.7676
sca,0.2235
gca,-0.3582
xg,1.2152
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.7282
passes_into_penalty_area,-0.6202
progressive_passes,-0.8372
carry_progressive_distance,-0.593
assisted_shots,-0.7641
fouled,1.702
pens_won,3.1822
tackles,0.2864
interceptions,-1.3311
blocks,1.1054
tackles_won,0.727
dribble_tackles,-1.0497
dribbles_vs,0.7849
pressures,1.2443
pressure_regains,1.1466
clearances,-0.6625
errors,-0.376
aerials_won,1.371
aerials_lost,0.6521
ball_recoveries,-1.0354
pens_conceded,-0.3183
fouls,1.2788
cards_yellow_red,-0.1907
