position,WB
minutes,1643.0
passes_completed,0.3511
passes,0.5433
dribbles_completed,-0.1556
dribbles,-0.2282
passes_completed_short,0.4003
passes_short,0.3715
passes_completed_medium,0.4223
passes_medium,0.5308
passes_completed_long,-0.1324
passes_long,0.2395
passes_total_distance,0.2524
passes_free_kicks,0.206
through_balls,-0.6322
passes_pressure,0.2565
passes_switches,-0.456
crosses,0.9424
corner_kicks,-0.0887
passes_intercepted,0.4536
passes_blocked,1.5731
dispossessed,-0.671
goals,0.2179
assists,0.9856
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.4102
shots_on_target,-0.089
sca,0.4539
gca,0.4519
xg,-0.4188
crosses_into_penalty_area,0.8931
passes_into_final_third,-0.3507
passes_into_penalty_area,1.2622
progressive_passes,0.6451
carry_progressive_distance,0.2285
assisted_shots,0.7286
fouled,0.185
pens_won,-0.2937
tackles,-0.2185
interceptions,-0.263
blocks,1.6963
tackles_won,-0.4953
dribble_tackles,0.1578
dribbles_vs,0.024
pressures,-0.7677
pressure_regains,-0.8091
clearances,0.0071
errors,-0.376
aerials_won,-0.5859
aerials_lost,-0.7587
ball_recoveries,0.0353
pens_conceded,1.1844
fouls,-1.2465
cards_yellow_red,-0.1907
