position,DM
minutes,0.5231
passes_completed,0.091
passes,0.2385
dribbles_completed,1.0011
dribbles,0.6899
passes_completed_short,0.097
passes_short,0.2628
passes_completed_medium,0.0456
passes_medium,0.2193
passes_completed_long,0.1034
passes_long,0.0597
passes_total_distance,0.0772
passes_free_kicks,-0.5789
through_balls,0.5675
passes_pressure,0.5758
passes_switches,0.6788
crosses,0.6317
corner_kicks,-0.3242
passes_intercepted,1.4505
passes_blocked,0.6233
dispossessed,0.3784
goals,0.187
assists,0.8072
pens_made,-0.2258
pens_att,0.3272
shots_total,2.0245
shots_on_target,1.3299
sca,1.0848
gca,0.5269
xg,0.9092
crosses_into_penalty_area,0.6602
passes_into_final_third,0.6332
passes_into_penalty_area,0.6601
progressive_passes,1.0028
carry_progressive_distance,0.3904
assisted_shots,1.1706
fouled,0.2452
pens_won,-0.3681
tackles,-0.1734
interceptions,-0.1618
blocks,0.2135
tackles_won,-0.2486
dribble_tackles,-0.5338
dribbles_vs,-0.0478
pressures,0.3873
pressure_regains,0.0474
clearances,-0.1895
errors,-0.5331
aerials_won,0.9879
aerials_lost,0.3617
ball_recoveries,0.1647
pens_conceded,-0.4889
fouls,-0.0044
cards_yellow_red,-0.3235
