position,LW
minutes,-0.4782
passes_completed,-0.5198
passes,-0.6134
dribbles_completed,0.4219
dribbles,0.5591
passes_completed_short,0.29
passes_short,0.3672
passes_completed_medium,-0.8468
passes_medium,-0.9886
passes_completed_long,-1.0689
passes_long,-1.3139
passes_total_distance,-0.8295
passes_free_kicks,-0.7672
through_balls,0.1322
passes_pressure,0.0918
passes_switches,-0.9322
crosses,0.3763
corner_kicks,-0.5565
passes_intercepted,1.4286
passes_blocked,1.1258
dispossessed,0.1719
goals,-0.7238
assists,0.9581
pens_made,-0.2418
pens_att,-0.271
shots_total,2.6501
shots_on_target,1.8787
sca,1.2951
gca,0.4291
xg,1.2783
crosses_into_penalty_area,0.2937
passes_into_final_third,-0.9651
passes_into_penalty_area,0.2102
progressive_passes,-0.4682
carry_progressive_distance,1.5682
assisted_shots,0.3083
fouled,-0.3537
pens_won,-0.2935
tackles,-1.075
interceptions,-1.6369
blocks,-0.8247
tackles_won,-1.0814
dribble_tackles,-0.8662
dribbles_vs,-1.2111
pressures,-0.5117
pressure_regains,-0.6992
clearances,-0.7554
errors,-0.3758
aerials_won,-0.9197
aerials_lost,-0.095
ball_recoveries,-0.6391
pens_conceded,-0.3182
fouls,-0.8216
cards_yellow_red,-0.1906
