position,LB
passes_completed,0.4289
passes,0.5817
dribbles_completed,0.0037
dribbles,-0.2046
passes_completed_short,0.4039
passes_short,0.4139
passes_completed_medium,0.628
passes_medium,0.821
passes_completed_long,-0.3058
passes_long,-0.0257
passes_total_distance,0.2466
passes_free_kicks,-0.9566
through_balls,-0.7252
passes_pressure,-0.1935
passes_switches,-0.7671
crosses,0.9826
corner_kicks,-0.2842
passes_intercepted,-0.1714
passes_blocked,0.3962
dispossessed,-0.2838
goals,-0.5505
assists,-0.5525
pens_made,-0.2739
pens_att,0.4606
shots_total,-0.6335
shots_on_target,-0.6108
sca,-0.4782
gca,-0.5838
xg,-0.5534
crosses_into_penalty_area,1.4091
passes_into_final_third,0.2387
passes_into_penalty_area,0.1387
progressive_passes,-0.038
carry_progressive_distance,0.1534
assisted_shots,-0.3304
fouled,0.6791
pens_won,-0.3695
tackles,1.7401
interceptions,1.0534
blocks,0.5793
tackles_won,1.1475
dribble_tackles,1.9403
dribbles_vs,1.3916
pressures,-0.2926
pressure_regains,-0.3846
clearances,0.0941
errors,-0.5457
aerials_won,-0.7923
aerials_lost,-0.7895
ball_recoveries,0.0526
pens_conceded,-0.4415
fouls,0.3586
cards_yellow_red,-0.2618
