position,LM
minutes,845.0
passes_completed,-1.1027
passes,-0.9053
dribbles_completed,1.2229
dribbles,1.0414
passes_completed_short,-1.0177
passes_short,-0.8557
passes_completed_medium,-1.0285
passes_medium,-0.9759
passes_completed_long,-0.4984
passes_long,0.0058
passes_total_distance,-0.9173
passes_free_kicks,-0.645
through_balls,-0.6322
passes_pressure,-0.2599
passes_switches,0.7729
crosses,1.0603
corner_kicks,0.4544
passes_intercepted,-0.3597
passes_blocked,0.3114
dispossessed,1.4781
goals,-0.1136
assists,0.0827
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.6889
shots_on_target,0.0154
sca,0.1355
gca,-0.0626
xg,-0.0493
crosses_into_penalty_area,0.2795
passes_into_final_third,-0.9738
passes_into_penalty_area,0.5244
progressive_passes,-0.5566
carry_progressive_distance,0.3239
assisted_shots,-0.1718
fouled,-0.6583
pens_won,-0.2937
tackles,0.5523
interceptions,1.0351
blocks,-0.342
tackles_won,0.2125
dribble_tackles,0.8186
dribbles_vs,2.1601
pressures,2.3317
pressure_regains,1.0207
clearances,-0.8873
errors,-0.376
aerials_won,-0.7084
aerials_lost,-0.7745
ball_recoveries,-0.785
pens_conceded,-0.3183
fouls,1.2327
cards_yellow_red,-0.1907
