position,RB
minutes,970.0
passes_completed,1.6876
passes,1.3464
dribbles_completed,0.0871
dribbles,-0.1359
passes_completed_short,2.9546
passes_short,2.7897
passes_completed_medium,1.2113
passes_medium,1.0461
passes_completed_long,-1.0342
passes_long,-1.1751
passes_total_distance,0.787
passes_free_kicks,-0.5841
through_balls,-0.6322
passes_pressure,0.4975
passes_switches,-0.9972
crosses,1.466
corner_kicks,-0.5567
passes_intercepted,-0.9878
passes_blocked,-0.24
dispossessed,-0.1549
goals,-0.724
assists,-0.0274
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.0418
shots_on_target,-1.029
sca,-0.324
gca,-0.1847
xg,-0.8911
crosses_into_penalty_area,1.7748
passes_into_final_third,-0.3754
passes_into_penalty_area,0.5785
progressive_passes,-0.5123
carry_progressive_distance,0.6146
assisted_shots,-0.063
fouled,-1.0389
pens_won,-0.2937
tackles,-0.212
interceptions,-0.0854
blocks,0.1284
tackles_won,-0.3761
dribble_tackles,0.2821
dribbles_vs,-0.3362
pressures,-0.5145
pressure_regains,-0.702
clearances,-0.2333
errors,-0.376
aerials_won,-0.9505
aerials_lost,-0.4602
ball_recoveries,-0.727
pens_conceded,-0.3183
fouls,0.5098
cards_yellow_red,-0.1907
