position,RM
minutes,331.0
passes_completed,0.5668
passes,0.6861
dribbles_completed,0.2561
dribbles,0.2062
passes_completed_short,0.5677
passes_short,0.4208
passes_completed_medium,0.1409
passes_medium,0.2383
passes_completed_long,1.1141
passes_long,1.4826
passes_total_distance,0.6635
passes_free_kicks,2.5071
through_balls,1.2948
passes_pressure,1.4367
passes_switches,2.1002
crosses,1.5553
corner_kicks,2.5406
passes_intercepted,-1.2204
passes_blocked,-0.2777
dispossessed,-0.1841
goals,0.8344
assists,1.409
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.9615
shots_on_target,1.6371
sca,1.6292
gca,2.6187
xg,0.6718
crosses_into_penalty_area,2.0346
passes_into_final_third,0.8735
passes_into_penalty_area,2.5193
progressive_passes,1.0787
carry_progressive_distance,0.6518
assisted_shots,1.7286
fouled,-0.196
pens_won,-0.2937
tackles,0.6056
interceptions,1.7739
blocks,-0.214
tackles_won,0.5411
dribble_tackles,0.0023
dribbles_vs,0.2653
pressures,-0.4742
pressure_regains,-0.7528
clearances,-1.0155
errors,-0.376
aerials_won,-0.8636
aerials_lost,-1.0453
ball_recoveries,-0.6796
pens_conceded,-0.3183
fouls,-2.045
cards_yellow_red,-0.1907
