position,DF
passes_completed,-0.5473
passes,-0.5734
dribbles_completed,-0.8021
dribbles,-0.5087
passes_completed_short,-0.6612
passes_short,-0.6931
passes_completed_medium,-0.1971
passes_medium,-0.1435
passes_completed_long,-0.5711
passes_long,-0.3851
passes_total_distance,-0.5606
passes_free_kicks,-0.8438
through_balls,-0.7252
passes_pressure,-0.8442
passes_switches,-0.6909
crosses,-0.6194
corner_kicks,-0.4808
passes_intercepted,-0.3454
passes_blocked,-0.7171
dispossessed,0.0812
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.1958
shots_on_target,-0.5985
sca,-0.6801
gca,-0.6505
xg,-0.6854
crosses_into_penalty_area,-0.8365
passes_into_final_third,-0.2183
passes_into_penalty_area,-0.6997
progressive_passes,-0.7799
carry_progressive_distance,-0.1086
assisted_shots,-0.5809
fouled,0.2648
pens_won,-0.3695
tackles,0.3144
interceptions,2.1316
blocks,-0.1614
tackles_won,0.2185
dribble_tackles,-1.0514
dribbles_vs,-0.3408
pressures,0.4566
pressure_regains,1.2769
clearances,0.0287
errors,-0.5457
aerials_won,-0.6602
aerials_lost,-0.4183
ball_recoveries,1.3635
pens_conceded,-0.4415
fouls,0.343
cards_yellow_red,-0.2618
