position,RB
minutes,2212.0
passes_completed,1.9018
passes,1.9802
dribbles_completed,-0.6594
dribbles,-0.6057
passes_completed_short,2.2635
passes_short,2.1654
passes_completed_medium,1.5076
passes_medium,1.5288
passes_completed_long,0.5789
passes_long,0.885
passes_total_distance,1.4634
passes_free_kicks,0.8503
through_balls,-0.3438
passes_pressure,0.3601
passes_switches,0.6536
crosses,0.6427
corner_kicks,-0.3249
passes_intercepted,0.8128
passes_blocked,0.9856
dispossessed,-0.6322
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7772
shots_on_target,-0.63
sca,-0.2266
gca,-0.2863
xg,-0.8034
crosses_into_penalty_area,1.0202
passes_into_final_third,1.5408
passes_into_penalty_area,0.8556
progressive_passes,2.1144
carry_progressive_distance,1.0887
assisted_shots,-0.0516
fouled,-0.1812
pens_won,-0.2937
tackles,0.6797
interceptions,-0.5315
blocks,-0.1125
tackles_won,0.2982
dribble_tackles,0.8249
dribbles_vs,0.2758
pressures,-0.9225
pressure_regains,-0.8381
clearances,0.3321
errors,-0.376
aerials_won,-0.5639
aerials_lost,-0.6091
ball_recoveries,0.9103
pens_conceded,0.7979
fouls,-0.3975
cards_yellow_red,-0.1907
