position,RB
passes_completed,0.4887
passes,0.6408
dribbles_completed,-0.8747
dribbles,-0.8704
passes_completed_short,0.5819
passes_short,0.4437
passes_completed_medium,0.3837
passes_medium,0.5288
passes_completed_long,0.005
passes_long,0.2549
passes_total_distance,0.3123
passes_free_kicks,-0.1884
through_balls,-0.7252
passes_pressure,-0.2782
passes_switches,-0.3092
crosses,1.8013
corner_kicks,-0.3197
passes_intercepted,0.7972
passes_blocked,1.3243
dispossessed,-0.6173
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.6626
shots_on_target,-0.617
sca,-0.3066
gca,-1.0626
xg,-0.6067
crosses_into_penalty_area,2.2631
passes_into_final_third,-0.2683
passes_into_penalty_area,0.5119
progressive_passes,0.2098
carry_progressive_distance,0.6588
assisted_shots,-0.0927
fouled,-0.7254
pens_won,-0.3695
tackles,-0.2436
interceptions,0.1831
blocks,1.8921
tackles_won,0.083
dribble_tackles,0.9254
dribbles_vs,0.3797
pressures,-0.8205
pressure_regains,-0.9865
clearances,0.6643
errors,-0.5457
aerials_won,-0.1491
aerials_lost,-0.6751
ball_recoveries,-0.2459
pens_conceded,-0.4415
fouls,-0.3236
cards_yellow_red,-0.2618
