position,LM
minutes,-0.7987
passes_completed,-0.7091
passes,-0.7476
dribbles_completed,-0.1822
dribbles,-0.1477
passes_completed_short,-0.6784
passes_short,-0.6883
passes_completed_medium,-0.6682
passes_medium,-0.6995
passes_completed_long,-0.6322
passes_long,-0.6634
passes_total_distance,-0.7067
passes_free_kicks,-0.5974
through_balls,-0.5
passes_pressure,-0.656
passes_switches,-0.6347
crosses,-0.4973
corner_kicks,-0.2505
passes_intercepted,-0.6546
passes_blocked,-0.473
dispossessed,-0.3667
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.4063
shots_on_target,-0.3713
sca,-0.62
gca,-0.6302
xg,-0.3641
crosses_into_penalty_area,-0.4603
passes_into_final_third,-0.6418
passes_into_penalty_area,-0.4983
progressive_passes,-0.6075
carry_progressive_distance,-0.5334
assisted_shots,-0.537
fouled,-0.6945
pens_won,-0.3681
tackles,-0.7382
interceptions,-0.6248
blocks,-0.829
tackles_won,-0.69
dribble_tackles,-0.6943
dribbles_vs,-0.7153
pressures,-0.7425
pressure_regains,-0.6639
clearances,-0.5283
errors,0.2502
aerials_won,-0.6217
aerials_lost,-0.5531
ball_recoveries,-0.7916
pens_conceded,-0.4889
fouls,-0.9183
cards_yellow_red,-0.3235
