position,RB
passes_completed,-0.1437
passes,0.2291
dribbles_completed,0.0812
dribbles,-0.318
passes_completed_short,-0.5866
passes_short,-0.4904
passes_completed_medium,0.302
passes_medium,0.599
passes_completed_long,-0.0913
passes_long,0.5558
passes_total_distance,0.151
passes_free_kicks,-0.5495
through_balls,-0.632
passes_pressure,-0.5154
passes_switches,1.1774
crosses,-0.4754
corner_kicks,-0.5565
passes_intercepted,0.0189
passes_blocked,-0.4043
dispossessed,-0.5087
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-1.124
shots_on_target,-1.0285
sca,-1.3532
gca,-1.0099
xg,-0.8908
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.0317
passes_into_penalty_area,-0.6817
progressive_passes,0.1223
carry_progressive_distance,-0.4681
assisted_shots,-1.1077
fouled,-0.5836
pens_won,-0.2935
tackles,0.6366
interceptions,1.7099
blocks,1.7383
tackles_won,1.3131
dribble_tackles,-0.3776
dribbles_vs,-0.7956
pressures,-1.3304
pressure_regains,-0.792
clearances,1.5149
errors,-0.3758
aerials_won,-0.3313
aerials_lost,-1.1194
ball_recoveries,0.2499
pens_conceded,-0.3182
fouls,0.2241
cards_yellow_red,-0.1906
