position,RM
passes_completed,-0.4267
passes,-0.3144
dribbles_completed,0.449
dribbles,0.6166
passes_completed_short,0.0317
passes_short,0.4162
passes_completed_medium,-0.6409
passes_medium,-0.6001
passes_completed_long,-0.5667
passes_long,-0.811
passes_total_distance,-0.581
passes_free_kicks,-1.0216
through_balls,0.7271
passes_pressure,1.7004
passes_switches,-0.2645
crosses,0.1298
corner_kicks,-0.5565
passes_intercepted,0.6152
passes_blocked,0.3747
dispossessed,0.4303
goals,0.9249
assists,-0.0023
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.2214
shots_on_target,-0.3235
sca,0.0328
gca,-0.1568
xg,-0.133
crosses_into_penalty_area,-0.1721
passes_into_final_third,-0.8619
passes_into_penalty_area,0.0421
progressive_passes,-0.0911
carry_progressive_distance,0.1429
assisted_shots,0.1197
fouled,1.5743
pens_won,-0.2935
tackles,-0.493
interceptions,0.5685
blocks,0.2121
tackles_won,-0.4943
dribble_tackles,-0.1678
dribbles_vs,-0.5063
pressures,1.3252
pressure_regains,0.9455
clearances,0.0241
errors,-0.3758
aerials_won,2.8201
aerials_lost,1.8606
ball_recoveries,0.0818
pens_conceded,-0.3182
fouls,1.5274
cards_yellow_red,-0.1906
