position,LM
minutes,3893.0
passes_completed,-0.5364
passes,-0.3707
dribbles_completed,-0.5034
dribbles,-0.3432
passes_completed_short,-0.2391
passes_short,-0.216
passes_completed_medium,-0.5959
passes_medium,-0.5327
passes_completed_long,-0.6102
passes_long,-0.2956
passes_total_distance,-0.6308
passes_free_kicks,-0.5038
through_balls,-0.1407
passes_pressure,0.0024
passes_switches,-0.1814
crosses,1.2476
corner_kicks,-0.2275
passes_intercepted,-0.3946
passes_blocked,1.1382
dispossessed,-0.0021
goals,-0.459
assists,0.3409
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.3348
shots_on_target,-0.6323
sca,0.3839
gca,0.3268
xg,-0.4094
crosses_into_penalty_area,1.6025
passes_into_final_third,-0.4079
passes_into_penalty_area,1.0061
progressive_passes,0.0605
carry_progressive_distance,-0.6154
assisted_shots,0.4306
fouled,0.2713
pens_won,0.2546
tackles,0.5211
interceptions,-0.2356
blocks,0.629
tackles_won,0.7915
dribble_tackles,0.3376
dribbles_vs,0.3379
pressures,2.0116
pressure_regains,2.9177
clearances,-0.3891
errors,-0.376
aerials_won,0.0496
aerials_lost,1.0262
ball_recoveries,0.5201
pens_conceded,-0.3183
fouls,1.2127
cards_yellow_red,-0.1907
