position,RB
minutes,0.7099
passes_completed,1.2484
passes,1.2017
dribbles_completed,0.2458
dribbles,0.2483
passes_completed_short,1.5959
passes_short,1.5855
passes_completed_medium,1.1201
passes_medium,1.1721
passes_completed_long,0.3642
passes_long,0.2537
passes_total_distance,0.9733
passes_free_kicks,-0.2654
through_balls,0.1405
passes_pressure,1.0579
passes_switches,0.5147
crosses,2.7257
corner_kicks,-0.226
passes_intercepted,1.6888
passes_blocked,1.1217
dispossessed,0.0178
goals,0.4506
assists,1.269
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.025
shots_on_target,0.0927
sca,0.6586
gca,0.9477
xg,0.1713
crosses_into_penalty_area,2.3409
passes_into_final_third,0.7542
passes_into_penalty_area,1.4527
progressive_passes,1.3145
carry_progressive_distance,1.3991
assisted_shots,0.9778
fouled,-0.5167
pens_won,0.7686
tackles,1.201
interceptions,0.4081
blocks,1.0645
tackles_won,1.1047
dribble_tackles,1.6052
dribbles_vs,1.0965
pressures,0.4889
pressure_regains,0.7508
clearances,0.211
errors,0.2502
aerials_won,0.3404
aerials_lost,-0.1789
ball_recoveries,0.882
pens_conceded,0.7569
fouls,1.017
cards_yellow_red,-0.3235
