position,GK
passes_completed,-0.673
passes,-0.6314
dribbles_completed,-1.1537
dribbles,-1.1359
passes_completed_short,-0.8647
passes_short,-1.1206
passes_completed_medium,-0.7259
passes_medium,-1.0371
passes_completed_long,0.682
passes_long,1.5142
passes_total_distance,-0.1543
passes_free_kicks,2.3265
through_balls,-0.7252
passes_pressure,-2.1114
passes_switches,-1.4836
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.2326
passes_blocked,-1.3455
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.4832
gca,-1.0626
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.5798
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.4591
assisted_shots,-1.2854
fouled,-1.2219
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7999
pressures,-2.0952
pressure_regains,-2.2692
clearances,-1.0323
errors,-0.5457
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-0.7238
pens_conceded,-0.4415
fouls,-1.8668
cards_yellow_red,-0.2618
