position,RW
passes_completed,-0.9385
passes,-0.8088
dribbles_completed,0.4349
dribbles,1.1005
passes_completed_short,-0.4625
passes_short,-0.3629
passes_completed_medium,-0.9648
passes_medium,-0.8729
passes_completed_long,-0.8705
passes_long,-0.5375
passes_total_distance,-1.0351
passes_free_kicks,-0.5255
through_balls,0.1156
passes_pressure,-0.3584
passes_switches,0.1489
crosses,1.1504
corner_kicks,0.6805
passes_intercepted,0.2257
passes_blocked,1.0355
dispossessed,0.788
goals,-0.2902
assists,1.2087
pens_made,-0.2739
pens_att,-0.3089
shots_total,0.3935
shots_on_target,0.1687
sca,0.6511
gca,0.6344
xg,-0.0011
crosses_into_penalty_area,1.3278
passes_into_final_third,-0.6882
passes_into_penalty_area,0.8603
progressive_passes,-0.2519
carry_progressive_distance,-0.0282
assisted_shots,0.9443
fouled,0.9931
pens_won,-0.3695
tackles,0.0768
interceptions,1.1425
blocks,0.0466
tackles_won,0.1418
dribble_tackles,0.3043
dribbles_vs,1.0476
pressures,0.8964
pressure_regains,0.5329
clearances,-0.6007
errors,-0.5457
aerials_won,-0.2386
aerials_lost,-0.1899
ball_recoveries,-0.3655
pens_conceded,0.0758
fouls,0.1809
cards_yellow_red,-0.2618
