position,GK
passes_completed,-0.5791
passes,-0.8677
dribbles_completed,-1.143
dribbles,-1.1295
passes_completed_short,-1.3323
passes_short,-1.5473
passes_completed_medium,-0.2392
passes_medium,-0.5539
passes_completed_long,0.8857
passes_long,0.7439
passes_total_distance,0.0625
passes_free_kicks,0.5079
through_balls,-0.636
passes_pressure,-1.7782
passes_switches,-0.789
crosses,-1.0101
corner_kicks,-0.4705
passes_intercepted,-1.5287
passes_blocked,-1.6805
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.4008
gca,-0.9626
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.5399
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.2993
assisted_shots,-1.2569
fouled,-1.3544
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7582
pressures,-2.1191
pressure_regains,-2.2592
clearances,-1.0228
errors,-0.3319
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.4715
pens_conceded,0.1071
fouls,-1.84
cards_yellow_red,-0.2618
