position,CM
minutes,-0.5922
passes_completed,1.6511
passes,1.5926
dribbles_completed,1.0481
dribbles,0.7034
passes_completed_short,2.4972
passes_short,2.641
passes_completed_medium,1.0912
passes_medium,1.1143
passes_completed_long,0.0143
passes_long,-0.2854
passes_total_distance,1.0602
passes_free_kicks,0.6127
through_balls,1.3313
passes_pressure,0.4813
passes_switches,-0.059
crosses,0.4639
corner_kicks,0.6269
passes_intercepted,0.0911
passes_blocked,0.3595
dispossessed,0.6234
goals,0.0701
assists,2.561
pens_made,-0.2418
pens_att,-0.271
shots_total,0.5663
shots_on_target,-0.3495
sca,2.1412
gca,1.4549
xg,0.0049
crosses_into_penalty_area,2.0892
passes_into_final_third,1.4305
passes_into_penalty_area,1.0754
progressive_passes,1.1384
carry_progressive_distance,2.3825
assisted_shots,1.5889
fouled,0.5811
pens_won,-0.2935
tackles,0.1629
interceptions,0.6801
blocks,-0.3906
tackles_won,0.5865
dribble_tackles,-0.3369
dribbles_vs,0.9595
pressures,2.5682
pressure_regains,3.1066
clearances,-0.8483
errors,-0.3758
aerials_won,-0.8579
aerials_lost,-0.7516
ball_recoveries,1.1296
pens_conceded,-0.3182
fouls,-0.4737
cards_yellow_red,-0.1906
