position,RB
minutes,872.0
passes_completed,-0.21
passes,0.1553
dribbles_completed,-0.4461
dribbles,-0.4981
passes_completed_short,-0.1874
passes_short,0.1974
passes_completed_medium,-0.1725
passes_medium,0.0876
passes_completed_long,-0.1951
passes_long,-0.1299
passes_total_distance,-0.1756
passes_free_kicks,0.3176
through_balls,0.0993
passes_pressure,-0.5638
passes_switches,-0.2892
crosses,-0.1144
corner_kicks,-0.5567
passes_intercepted,1.0456
passes_blocked,1.7506
dispossessed,-0.8309
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7908
shots_on_target,-0.776
sca,-0.8414
gca,-1.0103
xg,-0.817
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.1083
passes_into_penalty_area,-0.8237
progressive_passes,-0.537
carry_progressive_distance,-0.6307
assisted_shots,-0.8027
fouled,-0.6895
pens_won,-0.2937
tackles,0.7186
interceptions,-0.3426
blocks,1.7053
tackles_won,0.6906
dribble_tackles,1.8421
dribbles_vs,1.304
pressures,-0.2743
pressure_regains,0.2897
clearances,1.5949
errors,-0.376
aerials_won,0.7328
aerials_lost,0.388
ball_recoveries,0.1251
pens_conceded,-0.3183
fouls,-0.8748
cards_yellow_red,-0.1907
