position,LM
passes_completed,-1.1693
passes,-1.1519
dribbles_completed,-0.3546
dribbles,-0.0852
passes_completed_short,-1.0283
passes_short,-1.1331
passes_completed_medium,-1.1124
passes_medium,-1.1734
passes_completed_long,-0.9063
passes_long,-0.7773
passes_total_distance,-1.1261
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,-0.9764
passes_switches,-0.2445
crosses,1.1885
corner_kicks,-0.1744
passes_intercepted,-1.2279
passes_blocked,1.4649
dispossessed,-0.0478
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,0.0817
shots_on_target,-0.6997
sca,-0.4808
gca,-1.0099
xg,-0.698
crosses_into_penalty_area,2.9464
passes_into_final_third,-1.2147
passes_into_penalty_area,0.5811
progressive_passes,-1.1977
carry_progressive_distance,-0.2159
assisted_shots,-0.4316
fouled,-0.5772
pens_won,-0.2935
tackles,0.8903
interceptions,2.0104
blocks,1.6572
tackles_won,1.2146
dribble_tackles,-0.7266
dribbles_vs,1.0255
pressures,1.386
pressure_regains,0.7175
clearances,-0.7727
errors,-0.3758
aerials_won,-0.7316
aerials_lost,-0.7696
ball_recoveries,-0.2684
pens_conceded,-0.3182
fouls,1.8674
cards_yellow_red,-0.1906
