position,LW
passes_completed,-0.8193
passes,-0.7001
dribbles_completed,1.6427
dribbles,2.2786
passes_completed_short,-0.1353
passes_short,-0.002
passes_completed_medium,-1.0958
passes_medium,-0.9465
passes_completed_long,-0.9691
passes_long,-0.7702
passes_total_distance,-0.9942
passes_free_kicks,-1.0216
through_balls,-0.632
passes_pressure,-0.5917
passes_switches,-0.8335
crosses,2.3183
corner_kicks,-0.5565
passes_intercepted,-0.63
passes_blocked,1.5737
dispossessed,2.1399
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.2297
shots_on_target,0.2545
sca,0.6569
gca,-1.0099
xg,-0.5147
crosses_into_penalty_area,1.9268
passes_into_final_third,-0.503
passes_into_penalty_area,0.7391
progressive_passes,-0.3802
carry_progressive_distance,2.9618
assisted_shots,1.2361
fouled,1.5182
pens_won,-0.2935
tackles,1.1295
interceptions,-1.6369
blocks,-0.2931
tackles_won,2.2834
dribble_tackles,-0.7442
dribbles_vs,0.1822
pressures,0.0238
pressure_regains,1.2294
clearances,-0.8575
errors,-0.3758
aerials_won,-1.1368
aerials_lost,-0.2396
ball_recoveries,-1.4306
pens_conceded,-0.3182
fouls,1.7707
cards_yellow_red,-0.1906
