position,AM
minutes,460.0
passes_completed,-0.6646
passes,-0.4887
dribbles_completed,0.0515
dribbles,0.1906
passes_completed_short,-0.1552
passes_short,0.1069
passes_completed_medium,-0.8386
passes_medium,-0.7163
passes_completed_long,-0.5477
passes_long,-0.4428
passes_total_distance,-0.7363
passes_free_kicks,-0.3295
through_balls,0.7544
passes_pressure,1.0614
passes_switches,0.4914
crosses,0.1551
corner_kicks,1.1148
passes_intercepted,-0.0232
passes_blocked,0.1339
dispossessed,-0.0864
goals,0.3974
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.7305
shots_on_target,-0.5494
sca,1.8123
gca,-0.1399
xg,0.7958
crosses_into_penalty_area,-0.1587
passes_into_final_third,-0.4273
passes_into_penalty_area,0.222
progressive_passes,-0.8045
carry_progressive_distance,0.6919
assisted_shots,1.1335
fouled,1.2429
pens_won,-0.2937
tackles,-0.5797
interceptions,-0.4102
blocks,-0.5058
tackles_won,-0.1256
dribble_tackles,-0.9197
dribbles_vs,-0.8224
pressures,1.3916
pressure_regains,0.7015
clearances,-0.8977
errors,-0.376
aerials_won,-0.3495
aerials_lost,0.0952
ball_recoveries,-0.8195
pens_conceded,-0.3183
fouls,0.1733
cards_yellow_red,-0.1907
